%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi
1783583859668215843,1854,1783583859668215843,,255
1783583859668215843,1854,1783583859668215843,,255
1783583859668215843,1854,1783583859668215843,,255
1783583859668215843,1854,1783583859668215843,,255
1783583859668215843,1854,1783583859668215843,,255
1783583859668215843,1854,1783583859668215843,,255
1783583859668215843,1854,1783583859668215843,,255
1783583859668215843,1854,1783583859668215843,,255
1783583859668215843,1854,1783583859668215843,,255
1783583859668215843,1854,1783583859668215843,,255
1783583860168371516,1855,1783583860168371516,,255
1783583860168371516,1855,1783583860168371516,,255
1783583860168371516,1855,1783583860168371516,,255
1783583860168371516,1855,1783583860168371516,,255
1783583860168371516,1855,1783583860168371516,,255
1783583860168371516,1855,1783583860168371516,,255
1783583860168371516,1855,1783583860168371516,,255
1783583860168371516,1855,1783583860168371516,,255
1783583860168371516,1855,1783583860168371516,,255
1783583860168371516,1855,1783583860168371516,,255
1783583860668292054,1856,1783583860668292054,,255
1783583860668292054,1856,1783583860668292054,,255
1783583860668292054,1856,1783583860668292054,,255
1783583860668292054,1856,1783583860668292054,,255
1783583860668292054,1856,1783583860668292054,,255
1783583860668292054,1856,1783583860668292054,,255
1783583860668292054,1856,1783583860668292054,,255
1783583860668292054,1856,1783583860668292054,,255
1783583860668292054,1856,1783583860668292054,,255
1783583860668292054,1856,1783583860668292054,,255
1783583861168256504,1857,1783583861168256504,,255
1783583861168256504,1857,1783583861168256504,,255
1783583861168256504,1857,1783583861168256504,,255
1783583861168256504,1857,1783583861168256504,,255
1783583861168256504,1857,1783583861168256504,,255
1783583861168256504,1857,1783583861168256504,,255
1783583861168256504,1857,1783583861168256504,,255
1783583861168256504,1857,1783583861168256504,,255
1783583861168256504,1857,1783583861168256504,,255
1783583861168256504,1857,1783583861168256504,,255
1783583861668435069,1858,1783583861668435069,,255
1783583861668435069,1858,1783583861668435069,,255
1783583861668435069,1858,1783583861668435069,,255
1783583861668435069,1858,1783583861668435069,,255
1783583861668435069,1858,1783583861668435069,,255
1783583861668435069,1858,1783583861668435069,,255
1783583861668435069,1858,1783583861668435069,,255
1783583861668435069,1858,1783583861668435069,,255
1783583861668435069,1858,1783583861668435069,,255
1783583861668435069,1858,1783583861668435069,,255
1783583862168274151,1859,1783583862168274151,,255
1783583862168274151,1859,1783583862168274151,,255
1783583862168274151,1859,1783583862168274151,,255
1783583862168274151,1859,1783583862168274151,,255
1783583862168274151,1859,1783583862168274151,,255
1783583862168274151,1859,1783583862168274151,,255
1783583862168274151,1859,1783583862168274151,,255
1783583862168274151,1859,1783583862168274151,,255
1783583862168274151,1859,1783583862168274151,,255
1783583862168274151,1859,1783583862168274151,,255
1783583862668466710,1860,1783583862668466710,,255
1783583862668466710,1860,1783583862668466710,,255
1783583862668466710,1860,1783583862668466710,,255
1783583862668466710,1860,1783583862668466710,,255
1783583862668466710,1860,1783583862668466710,,255
1783583862668466710,1860,1783583862668466710,,255
1783583862668466710,1860,1783583862668466710,,255
1783583862668466710,1860,1783583862668466710,,255
1783583862668466710,1860,1783583862668466710,,255
1783583862668466710,1860,1783583862668466710,,255
1783583863168227066,1861,1783583863168227066,,255
1783583863168227066,1861,1783583863168227066,,255
1783583863168227066,1861,1783583863168227066,,255
1783583863168227066,1861,1783583863168227066,,255
1783583863168227066,1861,1783583863168227066,,255
1783583863168227066,1861,1783583863168227066,,255
1783583863168227066,1861,1783583863168227066,,255
1783583863168227066,1861,1783583863168227066,,255
1783583863168227066,1861,1783583863168227066,,255
1783583863168227066,1861,1783583863168227066,,255
1783583863668562073,1862,1783583863668562073,,255
1783583863668562073,1862,1783583863668562073,,255
1783583863668562073,1862,1783583863668562073,,255
1783583863668562073,1862,1783583863668562073,,255
1783583863668562073,1862,1783583863668562073,,255
1783583863668562073,1862,1783583863668562073,,255
1783583863668562073,1862,1783583863668562073,,255
1783583863668562073,1862,1783583863668562073,,255
1783583863668562073,1862,1783583863668562073,,255
1783583863668562073,1862,1783583863668562073,,255
1783583864168239472,1863,1783583864168239472,,255
1783583864168239472,1863,1783583864168239472,,255
1783583864168239472,1863,1783583864168239472,,255
1783583864168239472,1863,1783583864168239472,,255
1783583864168239472,1863,1783583864168239472,,255
1783583864168239472,1863,1783583864168239472,,255
1783583864168239472,1863,1783583864168239472,,255
1783583864168239472,1863,1783583864168239472,,255
1783583864168239472,1863,1783583864168239472,,255
1783583864168239472,1863,1783583864168239472,,255
1783583864668087869,1864,1783583864668087869,,255
1783583864668087869,1864,1783583864668087869,,255
1783583864668087869,1864,1783583864668087869,,255
1783583864668087869,1864,1783583864668087869,,255
1783583864668087869,1864,1783583864668087869,,255
1783583864668087869,1864,1783583864668087869,,255
1783583864668087869,1864,1783583864668087869,,255
1783583864668087869,1864,1783583864668087869,,255
1783583864668087869,1864,1783583864668087869,,255
1783583864668087869,1864,1783583864668087869,,255
1783583865168229246,1865,1783583865168229246,,255
1783583865168229246,1865,1783583865168229246,,255
1783583865168229246,1865,1783583865168229246,,255
1783583865168229246,1865,1783583865168229246,,255
1783583865168229246,1865,1783583865168229246,,255
1783583865168229246,1865,1783583865168229246,,255
1783583865168229246,1865,1783583865168229246,,255
1783583865168229246,1865,1783583865168229246,,255
1783583865168229246,1865,1783583865168229246,,255
1783583865168229246,1865,1783583865168229246,,255
1783583865668364174,1866,1783583865668364174,,255
1783583865668364174,1866,1783583865668364174,,255
1783583865668364174,1866,1783583865668364174,,255
1783583865668364174,1866,1783583865668364174,,255
1783583865668364174,1866,1783583865668364174,,255
1783583865668364174,1866,1783583865668364174,,255
1783583865668364174,1866,1783583865668364174,,255
1783583865668364174,1866,1783583865668364174,,255
1783583865668364174,1866,1783583865668364174,,255
1783583865668364174,1866,1783583865668364174,,255
1783583866168355952,1867,1783583866168355952,,255
1783583866168355952,1867,1783583866168355952,,255
1783583866168355952,1867,1783583866168355952,,255
1783583866168355952,1867,1783583866168355952,,255
1783583866168355952,1867,1783583866168355952,,255
